flnatureza,dsdocumento,nmprimeiro,nmsegundo,dtregistro
2,72281130093934,Bruno,Azevedo,2013-05-12
2,38888045085542,Daniel,Lopes,2009-12-21
2,23761767461664,Fernanda,Teixeira,2007-06-24
1,16722851294,Gabriel,Silva,2006-03-21
1,71021648085,Otávio,Oliveira,2016-06-22
2,91110650416113,Marcos,Costa,2008-12-23
2,64101767562463,Otávio,Cardoso,2014-08-12
1,07518068799,Fernanda,Silva,2008-12-17
2,65489463959126,Eduardo,Oliveira,2015-02-26
1,31067970609,Bruno,Rocha,2006-05-18
1,05950406887,Eduardo,Oliveira,2010-03-27
2,83094332533059,Natália,Dias,2019-11-24
2,44589806625479,Tiago,Oliveira,2010-11-30
2,04215410823768,João,Dias,2015-10-23
1,30634548231,Vanessa,Dias,2020-07-12
1,20914981605,Ana,Ribeiro,2022-09-04
2,26393531470715,Marcos,Oliveira,2017-08-16
2,16423193352610,Helena,Rocha,2017-01-13
2,25671064842444,Patrícia,Almeida,2009-02-24
2,69070872314230,Tiago,Moraes,2009-03-22
2,30611180774093,Natália,Silva,2017-08-15
2,87224322997107,Carlos,Costa,2020-08-25
1,60376757543,Bruno,Teixeira,2010-01-07
1,78826308591,Tiago,Silva,2022-06-04
1,35718490539,Otávio,Moraes,2023-03-06
1,03682265559,Eduardo,Costa,2010-11-21
2,72262053232927,Otávio,Oliveira,2016-12-05
2,29211792409770,Gabriel,Souza,2024-10-23
2,16106295878674,Daniel,Rocha,2009-08-27
2,73921566641867,Gabriel,Moreira,2009-01-08
2,04812299406503,João,Martins,2012-07-25
1,63904390787,Sandra,Martins,2009-08-08
2,44624305455685,Tiago,Medeiros,2005-09-25
2,32984837326139,João,Lopes,2025-03-31
1,45927344222,Daniel,Souza,2024-05-06
2,84721497163143,Tiago,Gomes,2014-02-19
1,18508737615,Vanessa,Teixeira,2016-12-14
2,19352043711012,Isabela,Rocha,2017-05-11
2,75970272785134,Fernanda,Moraes,2010-04-19
1,15136010520,Vanessa,Moreira,2010-01-13
1,62971344055,Fernanda,Rocha,2012-11-27
2,85522869527875,Otávio,Medeiros,2013-09-21
1,27151096698,Marcos,Gomes,2023-11-27
2,44395497007210,Natália,Pereira,2019-05-17
2,24477886076560,Bruno,Moraes,2015-05-18
1,26187095402,Carlos,Moraes,2018-03-23
2,59747435542825,Daniel,Martins,2021-10-11
1,39192588016,Karen,Almeida,2019-03-19
